,source_port,destination_port,protocol,packets,length,fin_flag,syn_flag,rst_flag,psh_flag,ack_flag,urg_flag,cwe_flag,ece_flag, Label
0,634,60495,17,97,42680.0,0,0,0,0,0,0,0,0,1
1,634,60495,17,2,880.0,0,0,0,0,0,0,0,0,1
2,634,46391,17,200,88000.0,0,0,0,0,0,0,0,0,1
3,634,11894,17,200,88000.0,0,0,0,0,0,0,0,0,1
4,634,27878,17,200,88000.0,0,0,0,0,0,0,0,0,1
5,634,47149,17,200,88000.0,0,0,0,0,0,0,0,0,1
6,634,22713,17,200,88000.0,0,0,0,0,0,0,0,0,1
7,634,49912,17,200,88000.0,0,0,0,0,0,0,0,0,1
8,634,56681,17,200,88000.0,0,0,0,0,0,0,0,0,1
9,634,13161,17,200,88000.0,0,0,0,0,0,0,0,0,1
10,634,25051,17,200,88000.0,0,0,0,0,0,0,0,0,1
11,634,12606,17,200,88000.0,0,0,0,0,0,0,0,0,1
12,809,47588,17,200,88000.0,0,0,0,0,0,0,0,0,1
13,634,11191,17,200,88000.0,0,0,0,0,0,0,0,0,1
14,634,9330,17,200,88000.0,0,0,0,0,0,0,0,0,1
15,634,60508,17,200,88000.0,0,0,0,0,0,0,0,0,1
16,634,63045,17,200,88000.0,0,0,0,0,0,0,0,0,1
17,0,0,0,1014,0.0,0,0,0,0,0,0,0,0,1
18,634,44802,17,200,88000.0,0,0,0,0,0,0,0,0,1
19,634,3192,17,200,88000.0,0,0,0,0,0,0,0,0,1
20,634,11970,17,200,88000.0,0,0,0,0,0,0,0,0,1
21,634,15612,17,200,88000.0,0,0,0,0,0,0,0,0,1
22,22,48621,6,10,408.0,0,0,1,0,0,1,0,0,1
23,634,46719,17,200,88000.0,0,0,0,0,0,0,0,0,1
24,634,7674,17,200,88000.0,0,0,0,0,0,0,0,0,1
25,634,39071,17,200,88000.0,0,0,0,0,0,0,0,0,1
26,634,37616,17,200,88000.0,0,0,0,0,0,0,0,0,1
27,634,64682,17,200,88000.0,0,0,0,0,0,0,0,0,1
28,634,587,17,200,88000.0,0,0,0,0,0,0,0,0,1
29,634,31123,17,200,88000.0,0,0,0,0,0,0,0,0,1
30,634,13463,17,200,88000.0,0,0,0,0,0,0,0,0,1
31,634,47597,17,200,88000.0,0,0,0,0,0,0,0,0,1
32,634,29575,17,200,88000.0,0,0,0,0,0,0,0,0,1
33,634,15125,17,200,88000.0,0,0,0,0,0,0,0,0,1
34,634,46539,17,200,88000.0,0,0,0,0,0,0,0,0,1
35,634,17872,17,200,88000.0,0,0,0,0,0,0,0,0,1
36,634,57620,17,200,88000.0,0,0,0,0,0,0,0,0,1
37,634,15218,17,200,88000.0,0,0,0,0,0,0,0,0,1
38,634,42291,17,200,88000.0,0,0,0,0,0,0,0,0,1
39,634,58492,17,200,88000.0,0,0,0,0,0,0,0,0,1
40,634,62964,17,200,88000.0,0,0,0,0,0,0,0,0,1
41,634,37082,17,200,88000.0,0,0,0,0,0,0,0,0,1
42,634,37082,17,2,880.0,0,0,0,0,0,0,0,0,1
43,634,43576,17,200,88000.0,0,0,0,0,0,0,0,0,1
44,634,14805,17,200,88000.0,0,0,0,0,0,0,0,0,1
45,810,56554,17,200,88000.0,0,0,0,0,0,0,0,0,1
46,634,19566,17,200,88000.0,0,0,0,0,0,0,0,0,1
47,634,47764,17,200,88000.0,0,0,0,0,0,0,0,0,1
48,634,56557,17,200,88000.0,0,0,0,0,0,0,0,0,1
49,634,17267,17,200,88000.0,0,0,0,0,0,0,0,0,1
50,634,15887,17,200,88000.0,0,0,0,0,0,0,0,0,1
51,634,24068,17,200,88000.0,0,0,0,0,0,0,0,0,1
52,634,49823,17,200,88000.0,0,0,0,0,0,0,0,0,1
53,634,13264,17,400,176000.0,0,0,0,0,0,0,0,0,1
54,634,9352,17,200,88000.0,0,0,0,0,0,0,0,0,1
55,634,52873,17,200,88000.0,0,0,0,0,0,0,0,0,1
56,634,31895,17,200,88000.0,0,0,0,0,0,0,0,0,1
57,634,31895,17,2,880.0,0,0,0,0,0,0,0,0,1
58,634,24907,17,200,88000.0,0,0,0,0,0,0,0,0,1
59,634,22571,17,200,88000.0,0,0,0,0,0,0,0,0,1
60,634,9550,17,200,88000.0,0,0,0,0,0,0,0,0,1
61,634,26214,17,200,88000.0,0,0,0,0,0,0,0,0,1
62,634,9004,17,200,88000.0,0,0,0,0,0,0,0,0,1
63,634,17560,17,200,88000.0,0,0,0,0,0,0,0,0,1
64,634,41785,17,200,88000.0,0,0,0,0,0,0,0,0,1
65,634,20018,17,200,88000.0,0,0,0,0,0,0,0,0,1
66,634,30163,17,200,88000.0,0,0,0,0,0,0,0,0,1
67,634,19595,17,200,88000.0,0,0,0,0,0,0,0,0,1
