,L4_SRC_PORT,L4_DST_PORT,PROTOCOL,FLOW_DURATION,OUT_PKTS,IN_PKTS,OUT_BYTES,IN_BYTES, Label
0,634,60495,17,28415,97,0,42680.0,0.0,1
1,634,60495,17,2,2,0,880.0,0.0,1
2,634,46391,17,48549,200,0,88000.0,0.0,1
3,634,11894,17,48337,200,0,88000.0,0.0,1
4,634,27878,17,32026,200,0,88000.0,0.0,1
5,634,47149,17,46469,200,0,88000.0,0.0,1
6,634,22713,17,31201,200,0,88000.0,0.0,1
7,634,49912,17,50453,200,0,88000.0,0.0,1
8,634,56681,17,31008,200,0,88000.0,0.0,1
9,634,13161,17,30143,200,0,88000.0,0.0,1
10,634,25051,17,48900,200,0,88000.0,0.0,1
11,634,12606,17,32323,200,0,88000.0,0.0,1
12,809,47588,17,81626,200,0,88000.0,0.0,1
13,634,11191,17,28950,200,0,88000.0,0.0,1
14,634,9330,17,39033,200,0,88000.0,0.0,1
15,634,60508,17,28486,200,0,88000.0,0.0,1
16,634,63045,17,30589,200,0,88000.0,0.0,1
17,0,0,0,119819608,1014,196,0.0,0.0,1
18,634,44802,17,35172,200,0,88000.0,0.0,1
19,634,3192,17,32880,200,0,88000.0,0.0,1
20,634,11970,17,36052,200,0,88000.0,0.0,1
21,634,15612,17,40926,200,0,88000.0,0.0,1
22,22,48621,6,5197051,10,7,408.0,440.0,1
23,634,46719,17,37616,200,0,88000.0,0.0,1
24,634,7674,17,31111,200,0,88000.0,0.0,1
25,634,39071,17,31529,200,0,88000.0,0.0,1
26,634,37616,17,36694,200,0,88000.0,0.0,1
27,634,64682,17,39164,200,0,88000.0,0.0,1
28,634,587,17,38512,200,0,88000.0,0.0,1
29,634,31123,17,67199,200,0,88000.0,0.0,1
30,634,13463,17,79523,200,0,88000.0,0.0,1
31,634,47597,17,40977,200,0,88000.0,0.0,1
32,634,29575,17,47233,200,0,88000.0,0.0,1
33,634,15125,17,111137,200,0,88000.0,0.0,1
34,634,46539,17,47852,200,0,88000.0,0.0,1
35,634,17872,17,29224,200,0,88000.0,0.0,1
36,634,57620,17,29172,200,0,88000.0,0.0,1
37,634,15218,17,29212,200,0,88000.0,0.0,1
38,634,42291,17,70290,200,0,88000.0,0.0,1
39,634,58492,17,29130,200,0,88000.0,0.0,1
40,634,62964,17,66949,200,0,88000.0,0.0,1
41,634,37082,17,29086,200,0,88000.0,0.0,1
42,634,37082,17,1,2,0,880.0,0.0,1
43,634,43576,17,32493,200,0,88000.0,0.0,1
44,634,14805,17,40876,200,0,88000.0,0.0,1
45,810,56554,17,73973,200,0,88000.0,0.0,1
46,634,19566,17,71425,200,0,88000.0,0.0,1
